name,distance_m,grade_pct,turn_penalty_s,wind_exposure
Speedway start straight (lap 1),1480,0.0,0,low
Speedway initial descent (lap 1),620,-1.5,0,low
Speedway exit descent (steep) (lap 1),600,-3.5,2,low
Track exit descent upper (lap 1),1200,-3.2,2,low
Track exit descent lower (lap 1),1000,-2.8,2,low
Flat valley bottom / road junction (lap 1),500,0.2,5,low
Lower slopes of main climb (lap 1),1000,2.5,0,medium
Main climb lower-mid (lap 1),1000,3.1,0,medium
Middle of main climb (steepest) (lap 1),900,5.8,0,medium
Upper main climb (lap 1),900,4.9,0,high
Main climb final steep pitch (lap 1),400,8.9,0,high
Summit plateau / time check (lap 1),300,1.0,0,high
Descent from summit (fast upper) (lap 1),1000,-5.1,0,high
Descent mid section (lap 1),1000,-4.6,0,medium
Sweeping bends lower descent (lap 1),800,-4.6,3,medium
Lower descent toward Speedway (lap 1),800,-2.8,2,low
Final flat approach to Speedway (lap 1),400,-1.5,0,low
Flat approach to Speedway entrance (lap 1),600,0.4,6,low
Pit lane climb (lower ramp) (lap 1),400,4.2,0,low
Pit lane climb (steep upper) (lap 1),300,8.9,0,low
Pit lane climb (upper ramp) (lap 1),400,6.1,3,low
Speedway infield rolling section (lap 1),800,1.2,0,low
Back straight (flat sheltered) (lap 1),1000,0.0,0,low
Final bend onto main straight (lap 1),400,0.3,4,low
Main straight to finish (lap 1),1480,-0.5,0,low
Finish line buffer (lap 1),200,0.0,0,low
Speedway start straight (lap 2),1480,0.0,0,low
Speedway initial descent (lap 2),620,-1.5,0,low
Speedway exit descent (steep) (lap 2),600,-3.5,2,low
Track exit descent upper (lap 2),1200,-3.2,2,low
Track exit descent lower (lap 2),1000,-2.8,2,low
Flat valley bottom / road junction (lap 2),500,0.2,5,low
Lower slopes of main climb (lap 2),1000,2.5,0,medium
Main climb lower-mid (lap 2),1000,3.1,0,medium
Middle of main climb (steepest) (lap 2),900,5.8,0,medium
Upper main climb (lap 2),900,4.9,0,high
Main climb final steep pitch (lap 2),400,8.9,0,high
Summit plateau / time check (lap 2),300,1.0,0,high
Descent from summit (fast upper) (lap 2),1000,-5.1,0,high
Descent mid section (lap 2),1000,-4.6,0,medium
Sweeping bends lower descent (lap 2),800,-4.6,3,medium
Lower descent toward Speedway (lap 2),800,-2.8,2,low
Final flat approach to Speedway (lap 2),400,-1.5,0,low
Flat approach to Speedway entrance (lap 2),600,0.4,6,low
Pit lane climb (lower ramp) (lap 2),400,4.2,0,low
Pit lane climb (steep upper) (lap 2),300,8.9,0,low
Pit lane climb (upper ramp) (lap 2),400,6.1,3,low
Speedway infield rolling section (lap 2),800,1.2,0,low
Back straight (flat sheltered) (lap 2),1000,0.0,0,low
Final bend onto main straight (lap 2),400,0.3,4,low
Main straight to finish (lap 2),1480,-0.5,0,low
Finish line buffer (lap 2),200,0.0,0,low
