segment_id,name,distance_m,grade_pct,turn_penalty_s,wind_exposure
1,Speedway start and exit descent,4000,-3.5,6,low
2,Flat approach,1500,0,2,medium
3,Main climb lower (steep),1000,8.9,0,medium
4,Main climb middle,1000,5.9,0,medium
5,Main climb upper,800,4.0,0,medium
6,Main climb final pitch,300,11.0,0,low
7,Descent from peak,4000,-5.0,4,medium
8,Flat valley,1500,0,2,medium
9,Second climb lower,1200,5.0,2,medium
10,Second climb pit-lane pitch,800,8.9,3,low
11,Rolling rise,1500,3.0,0,medium
12,Descent to finish area,1660,-5.0,3,low
13,Late undulation,1000,3.4,0,low
14,Finish straight,1840,0,0,low
