rider,course,deviation_pct,time_min,delta_vs_optimal_min
male_tt,Tokyo,-15,32.07,2.48
male_tt,Tokyo,-10,31.22,1.63
male_tt,Tokyo,-5,30.32,0.73
male_tt,Tokyo,0,29.58,0.0
male_tt,Tokyo,5,29.0,-0.58
male_tt,Tokyo,10,28.3,-1.28
male_tt,Tokyo,15,27.77,-1.82
female_tt,Tokyo,-15,36.7,2.97
female_tt,Tokyo,-10,35.6,1.87
female_tt,Tokyo,-5,34.62,0.88
female_tt,Tokyo,0,33.73,0.0
female_tt,Tokyo,5,32.95,-0.78
female_tt,Tokyo,10,32.27,-1.47
female_tt,Tokyo,15,31.55,-2.18
male_climber,Tokyo,-15,34.87,2.6
male_climber,Tokyo,-10,33.93,1.67
male_climber,Tokyo,-5,33.05,0.78
male_climber,Tokyo,0,32.27,0.0
male_climber,Tokyo,5,31.57,-0.7
male_climber,Tokyo,10,30.9,-1.37
male_climber,Tokyo,15,30.25,-2.02
female_climber,Tokyo,-15,39.08,3.05
female_climber,Tokyo,-10,37.95,1.92
female_climber,Tokyo,-5,36.97,0.93
female_climber,Tokyo,0,36.03,0.0
female_climber,Tokyo,5,35.18,-0.85
female_climber,Tokyo,10,34.43,-1.6
female_climber,Tokyo,15,33.68,-2.35
