rider,course,distance_m,power_w
baseline,Tokyo,10,363
baseline,Tokyo,61,363
baseline,Tokyo,116,363
baseline,Tokyo,174,363
baseline,Tokyo,233,363
baseline,Tokyo,293,363
baseline,Tokyo,354,363
baseline,Tokyo,415,363
baseline,Tokyo,477,363
baseline,Tokyo,538,363
baseline,Tokyo,600,363
baseline,Tokyo,662,363
baseline,Tokyo,723,363
baseline,Tokyo,785,363
baseline,Tokyo,847,363
baseline,Tokyo,909,363
baseline,Tokyo,971,363
baseline,Tokyo,1032,363
baseline,Tokyo,1094,363
baseline,Tokyo,1156,363
baseline,Tokyo,1218,363
baseline,Tokyo,1280,363
baseline,Tokyo,1342,362
baseline,Tokyo,1403,360
baseline,Tokyo,1465,358
baseline,Tokyo,1527,357
baseline,Tokyo,1588,356
baseline,Tokyo,1650,354
baseline,Tokyo,1712,353
baseline,Tokyo,1776,352
baseline,Tokyo,1843,351
baseline,Tokyo,1910,349
baseline,Tokyo,1979,348
baseline,Tokyo,2047,347
baseline,Tokyo,2116,346
baseline,Tokyo,2186,345
baseline,Tokyo,2255,345
baseline,Tokyo,2324,344
baseline,Tokyo,2393,343
baseline,Tokyo,2465,342
baseline,Tokyo,2540,341
baseline,Tokyo,2618,341
baseline,Tokyo,2696,340
baseline,Tokyo,2775,339
baseline,Tokyo,2855,338
baseline,Tokyo,2935,338
baseline,Tokyo,3015,337
baseline,Tokyo,3095,337
baseline,Tokyo,3175,336
baseline,Tokyo,3254,335
baseline,Tokyo,3333,335
baseline,Tokyo,3412,334
baseline,Tokyo,3491,334
baseline,Tokyo,3570,333
baseline,Tokyo,3648,333
baseline,Tokyo,3727,332
baseline,Tokyo,3805,332
baseline,Tokyo,3884,331
baseline,Tokyo,3962,331
baseline,Tokyo,4041,331
baseline,Tokyo,4119,330
baseline,Tokyo,4197,330
baseline,Tokyo,4276,329
baseline,Tokyo,4354,329
baseline,Tokyo,4433,329
baseline,Tokyo,4511,328
baseline,Tokyo,4588,328
baseline,Tokyo,4665,328
baseline,Tokyo,4741,327
baseline,Tokyo,4817,327
baseline,Tokyo,4893,327
baseline,Tokyo,4970,326
baseline,Tokyo,5046,326
baseline,Tokyo,5122,326
baseline,Tokyo,5197,325
baseline,Tokyo,5273,325
baseline,Tokyo,5349,325
baseline,Tokyo,5425,325
baseline,Tokyo,5501,324
baseline,Tokyo,5577,324
baseline,Tokyo,5650,324
baseline,Tokyo,5718,324
baseline,Tokyo,5782,323
baseline,Tokyo,5844,323
baseline,Tokyo,5905,323
baseline,Tokyo,5965,323
baseline,Tokyo,6024,322
baseline,Tokyo,6083,322
baseline,Tokyo,6141,322
baseline,Tokyo,6198,295
baseline,Tokyo,6249,295
baseline,Tokyo,6297,295
baseline,Tokyo,6343,295
baseline,Tokyo,6387,295
baseline,Tokyo,6430,295
baseline,Tokyo,6472,295
baseline,Tokyo,6515,295
baseline,Tokyo,6557,295
baseline,Tokyo,6599,295
baseline,Tokyo,6641,295
baseline,Tokyo,6683,295
baseline,Tokyo,6724,295
baseline,Tokyo,6766,295
baseline,Tokyo,6808,295
baseline,Tokyo,6850,295
baseline,Tokyo,6891,295
baseline,Tokyo,6933,295
baseline,Tokyo,6975,295
baseline,Tokyo,7017,295
baseline,Tokyo,7059,295
baseline,Tokyo,7100,295
baseline,Tokyo,7142,295
baseline,Tokyo,7184,295
baseline,Tokyo,7226,295
baseline,Tokyo,7267,295
baseline,Tokyo,7309,305
baseline,Tokyo,7350,305
baseline,Tokyo,7391,305
baseline,Tokyo,7431,305
baseline,Tokyo,7471,305
baseline,Tokyo,7511,305
baseline,Tokyo,7550,305
baseline,Tokyo,7590,305
baseline,Tokyo,7630,305
baseline,Tokyo,7670,305
baseline,Tokyo,7709,305
baseline,Tokyo,7749,305
baseline,Tokyo,7789,305
baseline,Tokyo,7828,305
baseline,Tokyo,7868,305
baseline,Tokyo,7908,305
baseline,Tokyo,7947,305
baseline,Tokyo,7987,305
baseline,Tokyo,8027,305
baseline,Tokyo,8066,305
baseline,Tokyo,8106,305
baseline,Tokyo,8146,305
baseline,Tokyo,8186,305
baseline,Tokyo,8225,305
baseline,Tokyo,8265,305
baseline,Tokyo,8305,305
baseline,Tokyo,8344,305
baseline,Tokyo,8384,305
baseline,Tokyo,8424,305
baseline,Tokyo,8462,353
baseline,Tokyo,8498,353
baseline,Tokyo,8532,353
baseline,Tokyo,8565,353
baseline,Tokyo,8598,353
baseline,Tokyo,8630,353
baseline,Tokyo,8663,353
baseline,Tokyo,8695,353
baseline,Tokyo,8728,353
baseline,Tokyo,8760,353
baseline,Tokyo,8793,353
baseline,Tokyo,8825,353
baseline,Tokyo,8858,353
baseline,Tokyo,8890,353
baseline,Tokyo,8923,353
baseline,Tokyo,8955,353
baseline,Tokyo,8987,353
baseline,Tokyo,9020,353
baseline,Tokyo,9052,353
baseline,Tokyo,9085,353
baseline,Tokyo,9117,353
baseline,Tokyo,9150,353
baseline,Tokyo,9182,353
baseline,Tokyo,9214,353
baseline,Tokyo,9247,353
baseline,Tokyo,9279,353
baseline,Tokyo,9312,353
baseline,Tokyo,9344,353
baseline,Tokyo,9377,353
baseline,Tokyo,9409,353
baseline,Tokyo,9442,353
baseline,Tokyo,9474,337
baseline,Tokyo,9507,337
baseline,Tokyo,9540,337
baseline,Tokyo,9573,337
baseline,Tokyo,9606,337
baseline,Tokyo,9639,337
baseline,Tokyo,9672,337
baseline,Tokyo,9706,337
baseline,Tokyo,9739,337
baseline,Tokyo,9772,337
baseline,Tokyo,9805,337
baseline,Tokyo,9838,337
baseline,Tokyo,9872,337
baseline,Tokyo,9905,337
baseline,Tokyo,9938,337
baseline,Tokyo,9971,337
baseline,Tokyo,10004,337
baseline,Tokyo,10037,337
baseline,Tokyo,10071,337
baseline,Tokyo,10104,337
baseline,Tokyo,10137,337
baseline,Tokyo,10170,337
baseline,Tokyo,10203,337
baseline,Tokyo,10237,337
baseline,Tokyo,10270,337
baseline,Tokyo,10303,337
baseline,Tokyo,10336,337
baseline,Tokyo,10369,337
baseline,Tokyo,10402,337
baseline,Tokyo,10436,337
baseline,Tokyo,10469,337
baseline,Tokyo,10500,341
baseline,Tokyo,10526,340
baseline,Tokyo,10549,339
baseline,Tokyo,10572,339
baseline,Tokyo,10594,338
baseline,Tokyo,10617,337
baseline,Tokyo,10640,337
baseline,Tokyo,10662,336
baseline,Tokyo,10685,336
baseline,Tokyo,10707,335
baseline,Tokyo,10729,335
baseline,Tokyo,10752,334
baseline,Tokyo,10774,333
baseline,Tokyo,10796,333
