rider,course,wind_offset_ms,time_min,delta_vs_calm_min
male_tt,Tokyo,-4,25.75,-3.97
male_tt,Tokyo,-3,26.65,-3.07
male_tt,Tokyo,-2,27.58,-2.13
male_tt,Tokyo,-1,28.63,-1.08
male_tt,Tokyo,0,29.72,0.0
male_tt,Tokyo,1,30.95,1.23
male_tt,Tokyo,2,32.25,2.53
male_tt,Tokyo,3,33.62,3.9
male_tt,Tokyo,4,35.1,5.38
male_tt,Flanders,-4,44.93,-8.53
male_tt,Flanders,-3,46.87,-6.6
male_tt,Flanders,-2,48.92,-4.55
male_tt,Flanders,-1,51.13,-2.33
male_tt,Flanders,0,53.47,0.0
male_tt,Flanders,1,56.03,2.57
male_tt,Flanders,2,58.73,5.27
male_tt,Flanders,3,61.65,8.18
male_tt,Flanders,4,64.75,11.28
male_tt,Custom,-4,5.92,-0.92
male_tt,Custom,-3,6.15,-0.68
male_tt,Custom,-2,6.35,-0.48
male_tt,Custom,-1,6.62,-0.22
male_tt,Custom,0,6.83,0.0
male_tt,Custom,1,7.15,0.32
male_tt,Custom,2,7.45,0.62
male_tt,Custom,3,7.77,0.93
male_tt,Custom,4,8.1,1.27
